uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,isic1_2,isic2_1,isic2_2,isic3_1,isic3_2,cat1_1,cat1_2,cat_2_1,cat2_2,cat3_1,cat3_2,_merge,citizen_dummy,type_4cat,interestgroup
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
59,Apple and Pear Australia,2,7,2002,8,100,,,,,,200,204,500,,,,3,0,2,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
65,Armenian National Committee of Australia,1,,,8,,,,,,,1400,1404,,,,,3,1,1,1
